question_no,category_1,category_2,question_label,question_full,response_options,response_type,value_count,value_code_map,number_unit,other_input_expected,data_column_role,dashboard_value_type,formula
P1,응답자 정보,패널 기본정보,응답코드,,,주관식 문자,,,,N,raw,text,
P2,응답자 정보,패널 기본정보,패널코드,,,주관식 문자,,,,N,raw,text,
P3,응답자 정보,패널 기본정보,성별,,남|여,객관식 단일,2,1=남|2=여,,N,raw,label,
P4,응답자 정보,패널 기본정보,나이,,,주관식 숫자,,,세,N,raw,number,
P5,응답자 정보,패널 기본정보,거주 지역(상세),,서울|경기|인천|강원|충북|충남|대전|경북|경남|대구|울산|부산|전북|전남|광주|제주|세종,객관식 단일,17,1=서울|2=경기|3=인천|4=강원|5=충북|6=충남|7=대전|8=경북|9=경남|10=대구|11=울산|12=부산|13=전북|14=전남|15=광주|16=제주|17=세종,,N,raw,label,
P6,응답자 정보,패널 기본정보,거주 지역,,서울|서울 외 수도권|5대광역시|기타지역,객관식 단일,4,1=서울|2=서울 외 수도권|3=5대광역시|4=기타지역,,N,raw,label,
P7,응답자 정보,패널 기본정보,세대,,Z세대(1996-2004)|후기 밀레니얼(1989-1995)|전기 밀레니얼(1981-1988)|X세대(1970-1980)|86세대(1964-1969),객관식 단일,5,1=Z세대(1996-2004)|2=후기 밀레니얼(1989-1995)|3=전기 밀레니얼(1981-1988)|4=X세대(1970-1980)|5=86세대(1964-1969),,N,raw,label,
Q1,응답자 정보,소속 기업 정보,사업장 지역,귀하께서 근무하시는 기업의 사업장 소재지는 어디인가요?,강원도|경기도|경상남도|경상북도|광주광역시|대구광역시|대전광역시|부산광역시|서울특별시|세종특별자치시|울산광역시|인천광역시|전라남도|전라북도|제주특별자치도|충청남도|충청북도,객관식 단일,17,1=강원도|2=경기도|3=경상남도|4=경상북도|5=광주광역시|6=대구광역시|7=대전광역시|8=부산광역시|9=서울특별시|10=세종특별자치시|11=울산광역시|12=인천광역시|13=전라남도|14=전라북도|15=제주특별자치도|16=충청남도|17=충청북도,,N,raw,label,
Q2,응답자 정보,소속 기업 정보,사업장 인원,현재 근무하고 있는 사업장(오피스)에 근무하는 인원은 몇 명인가요?,"1~29인|30~99인|100~299인|300~999인|1,000인 이상",객관식 단일,5,"1=1~29인|2=30~99인|3=100~299인|4=300~999인|5=1,000인 이상",,N,raw,label,
Q3,응답자 정보,소속 기업 정보,업종,귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?,IT/게임|언론/미디어/컨텐츠|제조/생산|제약/바이오|유통/무역|금융|디자인/설계|건설/시공|법무/세무/회계|컨설팅/연구/조사|관공서/공사/협회|기타 (직접 입력),객관식 단일,12,1=IT/게임|2=언론/미디어/컨텐츠|3=제조/생산|4=제약/바이오|5=유통/무역|6=금융|7=디자인/설계|8=건설/시공|9=법무/세무/회계|10=컨설팅/연구/조사|11=관공서/공사/협회|12=기타 (직접 입력),,Y,raw,label,
Q3_TEXT,응답자 정보,소속 기업 정보,업종__기타_텍스트,귀하께서 재직 중인 기업은 다음 중 어느 업종에 해당하나요?,,객관식 단일,,,,Y,expanded,text,
Q4,응답자 정보,응답자 개인 특성,직무,현재 귀하께서 담당하고 있는 주요 업무는 무엇인가요?,"기획/전략|경영지원 (총무, 인사, 회계 등)|마케팅/광고/홍보|IT/개발/데이터|디자인/설계|연구/R&D|영업/판매/무역|교육/컨설팅|고객지원/서비스|생산/제조|구매/물류|전문/특수직|기타 (직접 입력)",객관식 단일,13,"1=기획/전략|2=경영지원 (총무, 인사, 회계 등)|3=마케팅/광고/홍보|4=IT/개발/데이터|5=디자인/설계|6=연구/R&D|7=영업/판매/무역|8=교육/컨설팅|9=고객지원/서비스|10=생산/제조|11=구매/물류|12=전문/특수직|13=기타 (직접 입력)",,Y,raw,label,
Q4_TEXT,응답자 정보,응답자 개인 특성,직무__기타_텍스트,현재 귀하께서 담당하고 있는 주요 업무는 무엇인가요?,,객관식 단일,,,,Y,expanded,text,
Q5,응답자 정보,소속 기업 정보,기업 유형,귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?,대기업|중견/중소기업|외국계 기업|공기업/공사|스타트업/스튜디오|기타 (직접 입력),객관식 단일,6,1=대기업|2=중견/중소기업|3=외국계 기업|4=공기업/공사|5=스타트업/스튜디오|6=기타 (직접 입력),,Y,raw,label,
Q5_TEXT,응답자 정보,소속 기업 정보,기업 유형__기타_텍스트,귀하께서 재직 중인 기업은 다음 중 어디에 해당하나요?,,객관식 단일,,,,Y,expanded,text,
Q6,응답자 정보,응답자 개인 특성,직책,귀하의 기업 내 직책은 어디에 해당하나요?,임원급|관리자급|실무자급,객관식 단일,3,1=임원급|2=관리자급|3=실무자급,,N,raw,label,
Q7,응답자 정보,응답자 개인 특성,총 경력,귀하의 직장 생활 총 경력은 어떻게 되나요?,1년 미만|1년 이상 5년 미만|5년 이상 10년 미만|10년 이상 15년 미만|15년 이상 20년 미만|20년 이상,객관식 단일,6,1=1년 미만|2=1년 이상 5년 미만|3=5년 이상 10년 미만|4=10년 이상 15년 미만|5=15년 이상 20년 미만|6=20년 이상,,N,raw,label,
Q8,응답자 정보,응답자 개인 특성,현 직장 재직 기간,현재 직장에서의 재직 기간은 어떻게 되나요?,1년 미만|1년 이상 5년 미만|5년 이상 10년 미만|10년 이상 15년 미만|15년 이상 20년 미만|20년 이상,객관식 단일,6,1=1년 미만|2=1년 이상 5년 미만|3=5년 이상 10년 미만|4=10년 이상 15년 미만|5=15년 이상 20년 미만|6=20년 이상,,N,raw,label,
Q9,문화적 환경,근무 제도,사무실 출근일수,한 주에 평균 며칠 사무실에서 근무하시나요?,주 1일 미만|주 1일|주 2일|주 3일|주 4일|주 5일|주 6일 이상,객관식 단일,7,1=주 1일 미만|2=주 1일|3=주 2일|4=주 3일|5=주 4일|6=주 5일|7=주 6일 이상,,N,raw,label,
Q10,문화적 환경,근무 제도,현재 운영 중인 근무 제도,회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,"운영하는 특별 근무 제도 없음|원격 근무제 (재택근무 등, 본 근무지 이외 장소에서 업무)|선택적 근로시간제 (근무일수 & 하루 근무시간 고정 / 출퇴근 시간 조정 가능)|탄력적 근로시간제 (일주일 근무시간 고정 / 출퇴근 시간 & 근무일수 조정 가능)|주 4일(이하) 근무제 (조직 차원에서 주 4일(이하)로 근무일수를 정한 경우)|기타 (직접 입력)",객관식 중복,6,"1=운영하는 특별 근무 제도 없음|2=원격 근무제 (재택근무 등, 본 근무지 이외 장소에서 업무)|3=선택적 근로시간제 (근무일수 & 하루 근무시간 고정 / 출퇴근 시간 조정 가능)|4=탄력적 근로시간제 (일주일 근무시간 고정 / 출퇴근 시간 & 근무일수 조정 가능)|5=주 4일(이하) 근무제 (조직 차원에서 주 4일(이하)로 근무일수를 정한 경우)|6=기타 (직접 입력)",,Y,raw,label,
Q10_M1,문화적 환경,근무 제도,현재 운영 중인 근무 제도__운영하는 특별 근무 제도 없음,회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M2,문화적 환경,근무 제도,"현재 운영 중인 근무 제도__원격 근무제 (재택근무 등, 본 근무지 이외 장소에서 업무)",회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M3,문화적 환경,근무 제도,현재 운영 중인 근무 제도__선택적 근로시간제 (근무일수 & 하루 근무시간 고정 / 출퇴근 시간 조정 가능),회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M4,문화적 환경,근무 제도,현재 운영 중인 근무 제도__탄력적 근로시간제 (일주일 근무시간 고정 / 출퇴근 시간 & 근무일수 조정 가능),회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M5,문화적 환경,근무 제도,현재 운영 중인 근무 제도__주 4일(이하) 근무제 (조직 차원에서 주 4일(이하)로 근무일수를 정한 경우),회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M6,문화적 환경,근무 제도,현재 운영 중인 근무 제도__기타 (직접 입력),회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q10_M6_TEXT,문화적 환경,근무 제도,현재 운영 중인 근무 제도__기타_텍스트,회사에서 특별히 운영하고 있는 근무제도는 무엇이 있나요? 해당하는 것을 모두 선택해주세요.,,객관식 중복,,,,Y,expanded,text,
Q11,문화적 환경,근무 제도,일주일 평균 근무 시간,한 주에 평균 몇 시간 근무하시나요? 1시간 단위로 응답해주세요.,,주관식 숫자,,,시간,N,raw,number,
Q12,문화적 환경,근무 제도,이상적인 사무실 출근일수,"‘오피스 외 다른 곳에서 일하는 원격근무’가 가능할 때, 오피스 출근일은 일주일에 며칠이 적당하다고 생각하시나요?",주 0일 (매일 재택 또는 원격근무)|주 1일|주 2일|주 3일|주 4일|주 5일 이상 (매일 오피스 근무),객관식 단일,6,1=주 0일 (매일 재택 또는 원격근무)|2=주 1일|3=주 2일|4=주 3일|5=주 4일|6=주 5일 이상 (매일 오피스 근무),,N,raw,label,
D1,문화적 환경,근무 제도,이상적인 사무실 출근일수_숫자,"‘오피스 외 다른 곳에서 일하는 원격근무’가 가능할 때, 오피스 출근일은 일주일에 며칠이 적당하다고 생각하시나요?",,주관식 숫자,,,일,N,derived,number,'이상적인 사무실 출근일수' 에서 응답한 보기의 숫자 ex. 주5일 선택일 경우 숫자 '5'로 환산
Q13,문화적 환경,근무 제도,올해 이용해 본 근무 장소,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,보기 중 근무 장소로 이용해 본 장소 없음|오피스|집|카페|공유오피스 (개인 지불)|공유오피스 (회사 지불)|거점오피스|휴양지의 숙소 또는 업무 시설 (워케이션)|가상/메타버스 오피스 (온라인 공간)|기타 (직접 입력),객관식 중복,10,1=보기 중 근무 장소로 이용해 본 장소 없음|2=오피스|3=집|4=카페|5=공유오피스 (개인 지불)|6=공유오피스 (회사 지불)|7=거점오피스|8=휴양지의 숙소 또는 업무 시설 (워케이션)|9=가상/메타버스 오피스 (온라인 공간)|10=기타 (직접 입력),,Y,raw,label,
Q13_M1,문화적 환경,근무 제도,올해 이용해 본 근무 장소__보기 중 근무 장소로 이용해 본 장소 없음,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M2,문화적 환경,근무 제도,올해 이용해 본 근무 장소__오피스,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M3,문화적 환경,근무 제도,올해 이용해 본 근무 장소__집,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M4,문화적 환경,근무 제도,올해 이용해 본 근무 장소__카페,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M5,문화적 환경,근무 제도,올해 이용해 본 근무 장소__공유오피스 (개인 지불),다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M6,문화적 환경,근무 제도,올해 이용해 본 근무 장소__공유오피스 (회사 지불),다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M7,문화적 환경,근무 제도,올해 이용해 본 근무 장소__거점오피스,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M8,문화적 환경,근무 제도,올해 이용해 본 근무 장소__휴양지의 숙소 또는 업무 시설 (워케이션),다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M9,문화적 환경,근무 제도,올해 이용해 본 근무 장소__가상/메타버스 오피스 (온라인 공간),다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M10,문화적 환경,근무 제도,올해 이용해 본 근무 장소__기타 (직접 입력),다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,0=미선택|1=선택,,N,expanded,binary,
Q13_M10_TEXT,문화적 환경,근무 제도,올해 이용해 본 근무 장소__기타_텍스트,다음 중 올해(2023년) 정규 근무 시간에 업무 장소로 이용해 본 곳을 모두 선택해주세요.,,객관식 중복,,,,Y,expanded,text,
Q14,문화적 환경,근무 제도,올해 자주 이용한 업무 장소 순위,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.,오피스|집|카페|공유오피스 (개인 지불)|공유오피스 (회사 지불)|거점오피스|휴양지의 숙소 또는 업무 시설 (워케이션)|가상/메타버스 오피스 (온라인 공간)|기타 (직접 입력),객관식 순위,9,1=오피스|2=집|3=카페|4=공유오피스 (개인 지불)|5=공유오피스 (회사 지불)|6=거점오피스|7=휴양지의 숙소 또는 업무 시설 (워케이션)|8=가상/메타버스 오피스 (온라인 공간)|9=기타 (직접 입력),,Y,raw,label,
Q14_R1,문화적 환경,근무 제도,올해 자주 이용한 업무 장소 순위__1순위,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.,,객관식 순위,9,1=오피스|2=집|3=카페|4=공유오피스 (개인 지불)|5=공유오피스 (회사 지불)|6=거점오피스|7=휴양지의 숙소 또는 업무 시설 (워케이션)|8=가상/메타버스 오피스 (온라인 공간)|9=기타 (직접 입력),,N,expanded,label,
Q14_R2,문화적 환경,근무 제도,올해 자주 이용한 업무 장소 순위__2순위,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.,,객관식 순위,9,1=오피스|2=집|3=카페|4=공유오피스 (개인 지불)|5=공유오피스 (회사 지불)|6=거점오피스|7=휴양지의 숙소 또는 업무 시설 (워케이션)|8=가상/메타버스 오피스 (온라인 공간)|9=기타 (직접 입력),,N,expanded,label,
Q14_R3,문화적 환경,근무 제도,올해 자주 이용한 업무 장소 순위__3순위,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.,,객관식 순위,9,1=오피스|2=집|3=카페|4=공유오피스 (개인 지불)|5=공유오피스 (회사 지불)|6=거점오피스|7=휴양지의 숙소 또는 업무 시설 (워케이션)|8=가상/메타버스 오피스 (온라인 공간)|9=기타 (직접 입력),,N,expanded,label,
Q14_TEXT,문화적 환경,근무 제도,올해 자주 이용한 업무 장소 순위__기타_텍스트,다음 근무 장소들 중 올해(2023년) 가장 많이 이용한 곳을 순서대로 최대 3개 선택해주세요.,,객관식 순위,,,,Y,expanded,text,
Q15,문화적 환경,근무 제도,집중 업무 시 선호하는 업무 장소,집중해서 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,오피스|집|카페|거점오피스 (회사에서 비용 지불한 공유오피스 포함)|휴양지의 숙소 또는 업무 시설 (워케이션)|가상/메타버스 오피스 (온라인 공간)|기타 (직접 입력),객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,Y,raw,label,
Q15_R1,문화적 환경,근무 제도,집중 업무 시 선호하는 업무 장소__1순위,집중해서 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q15_R2,문화적 환경,근무 제도,집중 업무 시 선호하는 업무 장소__2순위,집중해서 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q15_R3,문화적 환경,근무 제도,집중 업무 시 선호하는 업무 장소__3순위,집중해서 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q15_TEXT,문화적 환경,근무 제도,집중 업무 시 선호하는 업무 장소__기타_텍스트,집중해서 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,,,,Y,expanded,text,
Q16,문화적 환경,근무 제도,창의 업무 시 선호하는 업무 장소,창의적으로 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,오피스|집|카페|거점오피스 (회사에서 비용 지불한 공유오피스 포함)|휴양지의 숙소 또는 업무 시설 (워케이션)|가상/메타버스 오피스 (온라인 공간)|기타 (직접 입력),객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,Y,raw,label,
Q16_R1,문화적 환경,근무 제도,창의 업무 시 선호하는 업무 장소__1순위,창의적으로 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q16_R2,문화적 환경,근무 제도,창의 업무 시 선호하는 업무 장소__2순위,창의적으로 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q16_R3,문화적 환경,근무 제도,창의 업무 시 선호하는 업무 장소__3순위,창의적으로 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,7,1=오피스|2=집|3=카페|4=거점오피스 (회사에서 비용 지불한 공유오피스 포함)|5=휴양지의 숙소 또는 업무 시설 (워케이션)|6=가상/메타버스 오피스 (온라인 공간)|7=기타 (직접 입력),,N,expanded,label,
Q16_TEXT,문화적 환경,근무 제도,창의 업무 시 선호하는 업무 장소__기타_텍스트,창의적으로 일해야 할 때 선호하는 곳을 순서대로 최대 3개 선택해 주세요.,,객관식 순위,,,,Y,expanded,text,
Q17,문화적 환경,근무 제도,오피스가 다른 장소보다 더 나은 점,‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해주세요.,"오피스가 다른 근무 장소들보다 더 낫다고 느끼지 않음|동료들과 사회적 관계 구축|업무하기 편(리)한 공간|리프레시 되는 좋은 환경 /분위기|내 몸에 맞출 수 있는 책상이나 의자|기술적 지원/인프라|통합 OA공간, 미디어 제작실 등 지원 공간|생활 편의 시설(헬스케어, 식당 등)|상급자와 즉각적 업무 진행 및 정보 공유|동료와의 대면 소통/미팅|팀워크로 하는 업무|원격 협업 프로세스 진행|승진 등 회사 생활에서 필요한 기회에 대한 접근|업무 코칭 및 피드백|강연 및 교육 참여|새로운 조직 구성원을 위한 온보딩 프로그램 진행|클라이언트, 협업사와 대면 미팅|기타 (직접 입력)",객관식 순위,18,"1=오피스가 다른 근무 장소들보다 더 낫다고 느끼지 않음|2=동료들과 사회적 관계 구축|3=업무하기 편(리)한 공간|4=리프레시 되는 좋은 환경 /분위기|5=내 몸에 맞출 수 있는 책상이나 의자|6=기술적 지원/인프라|7=통합 OA공간, 미디어 제작실 등 지원 공간|8=생활 편의 시설(헬스케어, 식당 등)|9=상급자와 즉각적 업무 진행 및 정보 공유|10=동료와의 대면 소통/미팅|11=팀워크로 하는 업무|12=원격 협업 프로세스 진행|13=승진 등 회사 생활에서 필요한 기회에 대한 접근|14=업무 코칭 및 피드백|15=강연 및 교육 참여|16=새로운 조직 구성원을 위한 온보딩 프로그램 진행|17=클라이언트, 협업사와 대면 미팅|18=기타 (직접 입력)",,Y,raw,label,
Q17_R1,문화적 환경,근무 제도,오피스가 다른 장소보다 더 나은 점__1순위,‘오피스’가 다른 근무 장소들보다 더 낫다고 느끼는 이유를 순서대로 최대 5개 선택해주세요.,,객관식 순위,18,"1=오피스가 다른 근무 장소들보다 더 낫다고 느끼지 않음|2=동료들과 사회적 관계 구축|3=업무하기 편(리)한 공간|4=리프레시 되는 좋은 환경 /분위기|5=내 몸에 맞출 수 있는 책상이나 의자|6=기술적 지원/인프라|7=통합 OA공간, 미디어 제작실 등 지원 공간|8=생활 편의 시설(헬스케어, 식당 등)|9=상급자와 즉각적 업무 진행 및 정보 공유|10=동료와의 대면 소통/미팅|11=팀워크로 하는 업무|12=원격 협업 프로세스 진행|13=승진 등 회사 생활에서 필요한 기회에 대한 접근|14=업무 코칭 및 피드백|15=강연 및 교육 참여|16=새로운 조직 구성원을 위한 온보딩 프로그램 진행|17=클라이언트, 협업사와 대면 미팅|18=기타 (직접 입력)",,N,expanded,label,
