"question_no","question_label","target_column","source_column","match_type","confidence","status","note"
"Q9_R2","업무 외 활동 니즈_2순위","업무 외 활동 니즈_2순위","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_split","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q9_R3","업무 외 활동 니즈_3순위","업무 외 활동 니즈_3순위","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","rank_split","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 순위형 raw를 vendor rank matrix에서 재구성한 뒤 순위별 expanded로 분해했습니다."
"Q9_TEXT","업무 외 활동 니즈__기타_텍스트","업무 외 활동 니즈__기타_텍스트","141:분리된 공간에서 조용하게 집중 업무 - 1순위 | 142:분리된 공간에서 조용하게 집중 업무 - 2순위 | 143:분리된 공간에서 조용하게 집중 업무 - 3순위 | 144:캐주얼한 분위기에서 편안하게 업무 - 1순위 | 145:캐주얼한 분위기에서 편안하게 업무 - 2순위 | 146:캐주얼한 분위기에서 편안하게 업무 - 3순위 | 147:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 1순위 | 148:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 2순위 | 149:장비가 잘 갖춰진 회의공간에서 밀도 높은 미팅 - 3순위 | 150:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 1순위 | 151:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 2순위 | 152:카페 같은 분위기와 오픈된 공간에서 캐주얼한 미팅 - 3순위 | 153:조직 구성원이 모여 자유로운 업무공유 및 토론 - 1순위 | 154:조직 구성원이 모여 자유로운 업무공유 및 토론 - 2순위 | 155:조직 구성원이 모여 자유로운 업무공유 및 토론 - 3순위 | 156:조직 구성원과의 편안한 대화 - 1순위 | 157:조직 구성원과의 편안한 대화 - 2순위 | 158:조직 구성원과의 편안한 대화 - 3순위 | 159:출근 직후 및 점심 시간에 간단한 취식 - 1순위 | 160:출근 직후 및 점심 시간에 간단한 취식 - 2순위 | 161:출근 직후 및 점심 시간에 간단한 취식 - 3순위 | 162:출근 직후 또는 업무 중 짧은 휴식 - 1순위 | 163:출근 직후 또는 업무 중 짧은 휴식 - 2순위 | 164:출근 직후 또는 업무 중 짧은 휴식 - 3순위 | 165:별도로 마련된 공간에서 고객 및 방문자 응대 - 1순위 | 166:별도로 마련된 공간에서 고객 및 방문자 응대 - 2순위 | 167:별도로 마련된 공간에서 고객 및 방문자 응대 - 3순위 | 168:기타(구체적으로 명시)","direct_text_passthrough","high","mapped","3-1 순위형 매트릭스(기타 텍스트 별도 컬럼) 기타 텍스트는 코드 변환 없이 원문 텍스트를 그대로 적재합니다."
"Q10","오피스 경험 인식_기능 공간","오피스 경험 인식_기능 공간","169:""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다.정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다."" - 전혀아니다 | 170:""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다.정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다."" - 아니다 | 171:""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다.정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다."" - 보통이다 | 172:""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다.정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다."" - 그렇다 | 173:""오피스는 조직 구성원들이 모여 일을 하는 기능 공간이다.정해진 시간에 효율적으로 일하기 위한 기능적 측면이 중요하다."" - 매우그렇다","sparse_scale_to_ordinal","high","mapped","3-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q11","오피스 경험 인식_생활 공간","오피스 경험 인식_생활 공간","174:""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다.구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다."" - 전혀아니다 | 175:""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다.구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다."" - 아니다 | 176:""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다.구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다."" - 보통이다 | 177:""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다.구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다."" - 그렇다 | 178:""오피스는 조직 구성원들이 근무 시간 동안 지내는 일종의 생활 공간이다.구성원들이 원하는 분위기, 감성, 편의성을 고려한 생활 경험이 중요하다."" - 매우그렇다","sparse_scale_to_ordinal","high","mapped","3-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q12","사무환경 만족도_종합","사무환경 만족도_종합","179:나는 만족스러운 근무 환경에서 일하고 있다 - 전혀아니다 | 180:나는 만족스러운 근무 환경에서 일하고 있다 - 아니다 | 181:나는 만족스러운 근무 환경에서 일하고 있다 - 보통이다 | 182:나는 만족스러운 근무 환경에서 일하고 있다 - 그렇다 | 183:나는 만족스러운 근무 환경에서 일하고 있다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-1 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q13","사무환경 만족도_직원 배려","사무환경 만족도_직원 배려","184:우리 회사의 사무환경은 직원을 배려한 환경이다 - 전혀아니다 | 185:우리 회사의 사무환경은 직원을 배려한 환경이다 - 아니다 | 186:우리 회사의 사무환경은 직원을 배려한 환경이다 - 보통이다 | 187:우리 회사의 사무환경은 직원을 배려한 환경이다 - 그렇다 | 188:우리 회사의 사무환경은 직원을 배려한 환경이다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-1 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q14","사무환경 만족도_업무 효율","사무환경 만족도_업무 효율","189:우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다 - 전혀아니다 | 190:우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다 - 아니다 | 191:우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다 - 보통이다 | 192:우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다 - 그렇다 | 193:우리 회사의 사무환경은 업무를 효율적으로 지원해주는 환경이다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-1 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q15","사무환경 만족도_유연","사무환경 만족도_유연","194:우리 회사의 사무환경은 경직되어 있지 않고 유연하다 - 전혀아니다 | 195:우리 회사의 사무환경은 경직되어 있지 않고 유연하다 - 아니다 | 196:우리 회사의 사무환경은 경직되어 있지 않고 유연하다 - 보통이다 | 197:우리 회사의 사무환경은 경직되어 있지 않고 유연하다 - 그렇다 | 198:우리 회사의 사무환경은 경직되어 있지 않고 유연하다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-1 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q16","사무환경 만족도_수평","사무환경 만족도_수평","199:우리 회사는 직급/직책에 관계 없이 공간을 자유롭게 사용할 수 있다 - 전혀아니다 | 200:우리 회사는 직급/직책에 관계 없이 공간을 자유롭게 사용할 수 있다 - 아니다 | 201:우리 회사는 직급/직책에 관계 없이 공간을 자유롭게 사용할 수 있다 - 보통이다 | 202:우리 회사는 직급/직책에 관계 없이 공간을 자유롭게 사용할 수 있다 - 그렇다 | 203:우리 회사는 직급/직책에 관계 없이 공간을 자유롭게 사용할 수 있다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-1 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q17","조직문화 만족도_유연","조직문화 만족도_유연","204:우리 회사는 시대의 변화에 유연하게 대응한다 - 전혀아니다 | 205:우리 회사는 시대의 변화에 유연하게 대응한다 - 아니다 | 206:우리 회사는 시대의 변화에 유연하게 대응한다 - 보통이다 | 207:우리 회사는 시대의 변화에 유연하게 대응한다 - 그렇다 | 208:우리 회사는 시대의 변화에 유연하게 대응한다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q18","조직문화 만족도_친밀함","조직문화 만족도_친밀함","209:우리 회사는 구성원들간의 친밀도가 좋은 편이다 - 전혀아니다 | 210:우리 회사는 구성원들간의 친밀도가 좋은 편이다 - 아니다 | 211:우리 회사는 구성원들간의 친밀도가 좋은 편이다 - 보통이다 | 212:우리 회사는 구성원들간의 친밀도가 좋은 편이다 - 그렇다 | 213:우리 회사는 구성원들간의 친밀도가 좋은 편이다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q19","조직문화 만족도_동기부여","조직문화 만족도_동기부여","214:우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다 - 전혀아니다 | 215:우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다 - 아니다 | 216:우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다 - 보통이다 | 217:우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다 - 그렇다 | 218:우리 회사는 구성원에게 업무에 대한 동기부여와 긍정적 자극을 준다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q20","조직문화 만족도_자율","조직문화 만족도_자율","219:우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다 - 전혀아니다 | 220:우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다 - 아니다 | 221:우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다 - 보통이다 | 222:우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다 - 그렇다 | 223:우리 회사는 구성원이 주도적으로 업무를 수행하고 자율적으로 관리한다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q21","조직문화 만족도_워라밸","조직문화 만족도_워라밸","224:우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다 - 전혀아니다 | 225:우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다 - 아니다 | 226:우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다 - 보통이다 | 227:우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다 - 그렇다 | 228:우리 회사는 구성원의 일과 삶의 균형에 긍정적인 영향을 미친다 - 매우그렇다","sparse_scale_to_ordinal","high","mapped","4-2 5점 척도 선택된 척도 열 위치를 코드북 ordinal 값으로 변환했습니다."
"Q22","커피를 마시며 동료와 대화","커피를 마시며 동료와 대화","229:01) 커피를 마시며 동료와 대화 - 매우 안좋다 | 230:01) 커피를 마시며 동료와 대화 - 안좋다 | 231:01) 커피를 마시며 동료와 대화 - 약간 안좋다 | 232:01) 커피를 마시며 동료와 대화 - 보통이다 | 233:01) 커피를 마시며 동료와 대화 - 약간 좋다 | 234:01) 커피를 마시며 동료와 대화 - 좋다 | 235:01) 커피를 마시며 동료와 대화 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q23","우연한 만남을 통한 가벼운 커뮤니케이션","우연한 만남을 통한 가벼운 커뮤니케이션","236:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 매우 안좋다 | 237:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 안좋다 | 238:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 약간 안좋다 | 239:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 보통이다 | 240:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 약간 좋다 | 241:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 좋다 | 242:02) 우연한 만남을 통한 가벼운 커뮤니케이션 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q24","필요에 맞게 자율적으로 일 할 공간을 선택","필요에 맞게 자율적으로 일 할 공간을 선택","243:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 매우 안좋다 | 244:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 안좋다 | 245:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 약간 안좋다 | 246:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 보통이다 | 247:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 약간 좋다 | 248:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 좋다 | 249:03) 필요에 맞게 자율적으로 일 할 공간을 선택 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q25","재충전을 위한 개인 휴식","재충전을 위한 개인 휴식","250:04) 재충전을 위한 개인 휴식 - 매우 안좋다 | 251:04) 재충전을 위한 개인 휴식 - 안좋다 | 252:04) 재충전을 위한 개인 휴식 - 약간 안좋다 | 253:04) 재충전을 위한 개인 휴식 - 보통이다 | 254:04) 재충전을 위한 개인 휴식 - 약간 좋다 | 255:04) 재충전을 위한 개인 휴식 - 좋다 | 256:04) 재충전을 위한 개인 휴식 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q26","필요에 맞게 협업 공간 선택","필요에 맞게 협업 공간 선택","257:05) 필요에 맞게 협업 공간 선택 - 매우 안좋다 | 258:05) 필요에 맞게 협업 공간 선택 - 안좋다 | 259:05) 필요에 맞게 협업 공간 선택 - 약간 안좋다 | 260:05) 필요에 맞게 협업 공간 선택 - 보통이다 | 261:05) 필요에 맞게 협업 공간 선택 - 약간 좋다 | 262:05) 필요에 맞게 협업 공간 선택 - 좋다 | 263:05) 필요에 맞게 협업 공간 선택 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q27","팀원 또는 유관 팀과 정기적 회의","팀원 또는 유관 팀과 정기적 회의","264:06) 팀원 또는 유관 팀과 정기적 회의 - 매우 안좋다 | 265:06) 팀원 또는 유관 팀과 정기적 회의 - 안좋다 | 266:06) 팀원 또는 유관 팀과 정기적 회의 - 약간 안좋다 | 267:06) 팀원 또는 유관 팀과 정기적 회의 - 보통이다 | 268:06) 팀원 또는 유관 팀과 정기적 회의 - 약간 좋다 | 269:06) 팀원 또는 유관 팀과 정기적 회의 - 좋다 | 270:06) 팀원 또는 유관 팀과 정기적 회의 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q28","서로의 작업 진행 상황과 정보를 공유","서로의 작업 진행 상황과 정보를 공유","271:07) 서로의 작업 진행 상황과 정보를 공유 - 매우 안좋다 | 272:07) 서로의 작업 진행 상황과 정보를 공유 - 안좋다 | 273:07) 서로의 작업 진행 상황과 정보를 공유 - 약간 안좋다 | 274:07) 서로의 작업 진행 상황과 정보를 공유 - 보통이다 | 275:07) 서로의 작업 진행 상황과 정보를 공유 - 약간 좋다 | 276:07) 서로의 작업 진행 상황과 정보를 공유 - 좋다 | 277:07) 서로의 작업 진행 상황과 정보를 공유 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q29","팀원 또는 유관 팀과 간단한 캐주얼 회의","팀원 또는 유관 팀과 간단한 캐주얼 회의","278:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 매우 안좋다 | 279:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 안좋다 | 280:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 약간 안좋다 | 281:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 보통이다 | 282:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 약간 좋다 | 283:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 좋다 | 284:08) 팀원 또는 유관 팀과 간단한 캐주얼 회의 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q30","혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동","혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동","285:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 매우 안좋다 | 286:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 안좋다 | 287:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 약간 안좋다 | 288:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 보통이다 | 289:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 약간 좋다 | 290:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 좋다 | 291:09) 혼자 몰입해야 하는 순간에 독립된 공간으로 자리를 이동 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q31","업무 중 상급자와 부담없이 소통","업무 중 상급자와 부담없이 소통","292:10) 업무 중 상급자와 부담없이 소통 - 매우 안좋다 | 293:10) 업무 중 상급자와 부담없이 소통 - 안좋다 | 294:10) 업무 중 상급자와 부담없이 소통 - 약간 안좋다 | 295:10) 업무 중 상급자와 부담없이 소통 - 보통이다 | 296:10) 업무 중 상급자와 부담없이 소통 - 약간 좋다 | 297:10) 업무 중 상급자와 부담없이 소통 - 좋다 | 298:10) 업무 중 상급자와 부담없이 소통 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q32","통화나 회의로 발생하는 소음을 최소화","통화나 회의로 발생하는 소음을 최소화","299:11) 통화나 회의로 발생하는 소음을 최소화 - 매우 안좋다 | 300:11) 통화나 회의로 발생하는 소음을 최소화 - 안좋다 | 301:11) 통화나 회의로 발생하는 소음을 최소화 - 약간 안좋다 | 302:11) 통화나 회의로 발생하는 소음을 최소화 - 보통이다 | 303:11) 통화나 회의로 발생하는 소음을 최소화 - 약간 좋다 | 304:11) 통화나 회의로 발생하는 소음을 최소화 - 좋다 | 305:11) 통화나 회의로 발생하는 소음을 최소화 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
"Q33","직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류","직급/직책에 관계없이 의견 개진 및 다양한 직급/직책간 상호 교류","306:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 매우 안좋다 | 307:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 안좋다 | 308:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 약간 안좋다 | 309:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 보통이다 | 310:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 약간 좋다 | 311:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 좋다 | 312:12) 직급/직책에 관계없이 의견 개진 및 다양한 직급/직책 간 상호 교류 - 매우 좋다","sparse_scale_to_ordinal","high","mapped","4-3 7점 척도(원본 -5~5 bipolar 점수 → 코드북 ordinal 1~7 환산) 원본 bipolar 척도 export에서 선택된 열 위치를 코드북 ordinal 1~7로 환산했습니다."
